B827EBAC11E5	NTNU-CDC-001(2020)
B827EBCAA466	NTNU-CDC-002(2020)
B827EBF8693F	NTNU-CDC-003(2020)
B827EB05D4C0	NTNU-CDC-004(2020)
B827EB9261E2	NTNU-CDC-005(2020)
B827EBBFA7CA	NTNU-CDC-006(2020)
B827EBE55B74	NTNU-CDC-007(2020)
B827EBF19650	NTNU-CDC-008(2020)
B827EB8CF879	NTNU-CDC-009(2020)
B827EB1FCB3D	NTNU-CDC-010(2020)
B827EBD9365F	NTNU-CDC-011(2020)
B827EBB3126A	NTNU-CDC-012(2020)
B827EB11B5DE	NTNU-CDC-013(2020)
B827EB4D11A5	NTNU-CDC-014(2020)
B827EB2774DF	NTNU-CDC-015(2020)
B827EB5B5F99	NTNU-CDC-016(2020)
B827EB8A9D9C	NTNU-CDC-017(2020)
B827EB753B56	NTNU-CDC-018(2020)
B827EB3A1A22	NTNU-CDC-019(2020)
B827EBDF6EA8	NTNU-CDC-020(2020)
B827EBE38C62	NTNU-CDC-021(2020)
B827EBC3CF5D	NTNU-CDC-022(2020)
B827EB4AE378	NTNU-CDC-023(2020)
B827EBAE9F98	NTNU-CDC-024(2020)
B827EBEEA5EE	NTNU-CDC-025(2020)
B827EB80F01E	NTNU-CDC-026(2020)
B827EB8E12C2	NTNU-CDC-027(2020)
B827EB7E2EF7	NTNU-CDC-028(2020)
B827EB463DC1	NTNU-CDC-029(2020)
B827EB8B63E2	NTNU-CDC-030(2020)
B827EBB89D5B	NTNU-CDC-031(2020)
B827EB2BA9F8	NTNU-CDC-032(2020)
B827EBF59191	NTNU-CDC-033(2020)
B827EBC3AAC4	NTNU-CDC-034(2020)
B827EB120CAB	NTNU-CDC-035(2020)
B827EB911D69	NTNU-CDC-036(2020)
B827EB571A09	NTNU-CDC-037(2020)
B827EB5E8A89	NTNU-CDC-038(2020)
B827EBF3E9E0	NTNU-CDC-039(2020)
B827EBC35ABA	NTNU-CDC-040(2020)
B827EB01B3A1	NTNU-CDC-041(2020)
B827EB5D5396	NTNU-CDC-042(2020)
B827EBE96F9B	NTNU-CDC-043(2020)
B827EB05DBFC	NTNU-CDC-044(2020)
B827EBE9D1D4	NTNU-CDC-045(2020)
B827EB3851CF	NTNU-CDC-046(2020)
B827EB3859C0	NTNU-CDC-047(2020)
B827EB4C9BD3	NTNU-CDC-048(2020)
B827EB8163E9	NTNU-CDC-049(2020)
B827EBABB3CC	NTNU-CDC-050(2020)
B827EB7455FE	NTNU-CDC-051(2020)
B827EBD850A4	NTNU-CDC-052(2020)
B827EB57C81D	NTNU-CDC-053(2020)
B827EB4A579C	NTNU-CDC-054(2020)
B827EB06427E	NTNU-CDC-055(2020)
B827EB83FA8E	NTNU-CDC-056(2020)
B827EB5A5000	NTNU-CDC-057(2020)
B827EB7F0FBB	NTNU-CDC-058(2020)
B827EB873D1E	NTNU-CDC-059(2020)
B827EBB1B51C	NTNU-CDC-060(2020)
B827EB01ACC7	NTNU-CDC-061(2020)
B827EB59E269	NTNU-CDC-062(2020)
B827EBD9E49A	NTNU-CDC-063(2020)
B827EBEA8777	NTNU-CDC-064(2020)
B827EBE7A984	NTNU-CDC-065(2020)
