74DA38F20E14	新竹縣縣立關西國小	[306]新竹縣關西鎮西安里中山路126號
74DA38F20E02	新竹縣縣立東安國小	[306]新竹縣關西鎮東安里中山東路40號
74DA38F20DF4	新竹縣縣立石光國小	[306]新竹縣關西鎮石光里石岡子386號
74DA38F20E04	新竹縣縣立坪林國小	[306]新竹縣關西鎮上林里坪林11號
74DA38F20E06	新竹縣縣立南和國小	[306]新竹縣關西鎮南和里69號
74DA38F20DF8	新竹縣縣立太平國小	[306]新竹縣關西鎮東平里五鄰27號
74DA38F20E08	新竹縣縣立東光國小	[306]新竹縣關西鎮東光里190號
74DA38F210EE	新竹縣縣立錦山國小	[306]新竹縣關西鎮金山里107號
74DA38F210EC	新竹縣縣立玉山國小	[306]新竹縣關西鎮玉山里四鄰25號
74DA38F210E8	新竹縣縣立新埔國小	[305]新竹縣新埔鎮中正路366號
74DA38F20A48	新竹縣縣立新星國小	[305]新竹縣新埔鎮新民里民生街28號
74DA38F20ADE	新竹縣縣立照門國小	[305]新竹縣新埔鎮照照門里九鄰39號
74DA38F20E0C	新竹縣縣立清水國小	[305]新竹縣新埔鎮清水里143號
74DA38F210D2	新竹縣縣立照東國小	[305]新竹縣新埔鎮鹿鳴里9鄰36號
74DA38F20E16	新竹縣縣立北平國小	[305]新竹縣新埔鎮北平里62號
74DA38F20DF6	新竹縣縣立枋寮國小	[305]新竹縣新埔鎮上寮里義民路二段350號
74DA38F20DFA	新竹縣縣立寶石國小	[305]新竹縣新埔鎮寶石里九鄰關埔路內立段672號
74DA38F20DFC	新竹縣縣立文山國小	[305]新竹縣新埔鎮國校街160號
74DA38F20E10	新竹縣縣立竹東國小	[310]新竹縣竹東鎮康寧街1號
74DA38F20E18	新竹縣縣立中山國小	[310]新竹縣竹東鎮雞林里中山路70號
74DA38F209D6	新竹縣縣立大同國小	[310]新竹縣竹東鎮莊敬路111號
74DA38F209D4	新竹縣縣立二重國小	[310]新竹縣竹東鎮二重里光明路32號
74DA38F20BEC	新竹縣縣立竹中國小	[310]新竹縣竹東鎮頭重里竹中路104巷14號
74DA38F209D8	新竹縣縣立員崠國小	[310]新竹縣竹東鎮東峰路281號
74DA38F209D2	新竹縣縣立陸豐國小	[310]新竹縣竹東鎮陸豐里48號
74DA38F20C52	新竹縣縣立瑞峰國小	[310]新竹縣竹東鎮上坪里43號
74DA38F20D4A	新竹縣縣立竹北國小	[302]新竹縣竹北市中央路98號
74DA38F20D4E	新竹縣縣立中正國小	[302]新竹縣竹北市竹北村中山路190號
74DA38F20D58	新竹縣縣立竹仁國小	[302]新竹縣竹北市竹仁里仁和街1號
74DA38F20D52	新竹縣縣立新社國小	[302]新竹縣竹北市新社里40號
74DA38F20AF0	新竹縣縣立六家國小	[302]新竹縣竹北市嘉興路62號
74DA38F20AF4	新竹縣縣立東海國小	[302]新竹縣竹北市東興路一段839號
74DA38F209E8	新竹縣縣立豐田國小	[302]新竹縣竹北市中正西路1377號
74DA38F209E2	新竹縣縣立麻園國小	[302]新竹縣竹北市麻園里長園一街236號
74DA38F209E6	新竹縣縣立新港國小	[302]新竹縣竹北市長青路一段333巷135號
74DA38F209DE	新竹縣縣立鳳岡國小	[302]新竹縣竹北市大義里鳳岡路3段200號
74DA38F209F0	新竹縣縣立新湖國小	[303]新竹縣湖口鄉民族街222號
74DA38F200F2	新竹縣縣立和興國小	[303]新竹縣湖口鄉和興村德興路930號
74DA38F209F4	新竹縣縣立信勢國小	[303]新竹縣湖口鄉成功路360號
74DA38F209DC	新竹縣縣立湖口國小	[303]新竹縣湖口鄉湖口村3鄰八德路二段182號
74DA38F20CA2	新竹縣縣立山崎國小	[304]新竹縣新豐鄉新興路291號
74DA38F20BE4	新竹縣縣立長安國小	[303]新竹縣湖口鄉長安村長春路50號
74DA38F20BEA	新竹縣縣立中興國小	[303]新竹縣湖口鄉勝利村吉祥街43號
74DA38F20C06	新竹縣縣立華興國小	[303]新竹縣湖口鄉文化路171號
74DA38F20C08	新竹縣縣立橫山國小	[312]新竹縣橫山鄉橫山村橫山100號
74DA38F20C04	新竹縣縣立田寮國小	[312]新竹縣橫山鄉田寮村田洋街128號
74DA38F20BD8	新竹縣縣立大肚國小	[312]新竹縣橫山鄉大肚村中豐路二段157號
74DA38F20C0C	新竹縣縣立沙坑國小	[312]新竹縣橫山鄉沙坑村三鄰沙坑街48號
74DA38F20BF8	新竹縣縣立內灣國小	[312]新竹縣橫山鄉內灣村三鄰110號
74DA38F20BE8	新竹縣縣立福興國小	[304]新竹縣新豐鄉後湖村108號
74DA38F20BD4	新竹縣縣立新豐國小	[304]新竹縣新豐鄉重興村明德巷13號
74DA38F20C8C	新竹縣縣立瑞興國小	[304]新竹縣新豐鄉瑞興村63號
74DA38F20C9A	新竹縣縣立福龍國小	[304]新竹縣新豐鄉福興村113號
74DA38F20CA0	新竹縣縣立埔和國小	[304]新竹縣新豐鄉埔和村466號
74DA38F20D46	新竹縣縣立芎林國小	[307]新竹縣芎林鄉文林村四鄰文山路288號
74DA38F20BE6	新竹縣縣立碧潭國小	[307]新竹縣芎林鄉石潭村福昌街90號
74DA38F20C9E	新竹縣縣立五龍國小	[307]新竹縣芎林鄉五龍村105號
74DA38F20C9C	新竹縣縣立寶山國小	[308]新竹縣寶山鄉寶山村寶山路二段130號
74DA38F20C98	新竹縣縣立新城國小	[308]新竹縣寶山鄉寶新路二段475號
74DA38F20BDA	新竹縣縣立雙溪國小	[308]新竹縣寶山鄉雙園路二段310號
74DA38F20EA4	新竹縣縣立北埔國小	[314]新竹縣北埔鄉埔心街24號
74DA38F20EB2	新竹縣縣立大坪國小	[314]新竹縣北埔鄉外坪村一鄰8號
74DA38F20E98	新竹縣縣立峨眉國小	[315]新竹縣峨眉鄉峨眉街4號
74DA38F20EA6	新竹縣縣立富興國小	[315]新竹縣峨眉鄉富興村太平街8號
74DA38F20EA2	新竹縣縣立尖石國小	[313]新竹縣尖石鄉嘉樂村六鄰7號
74DA38F20EB0	新竹縣縣立嘉興國小	[313]新竹縣尖石鄉嘉樂村三鄰177號
74DA38F20E94	新竹縣縣立新樂國小	[313]新竹縣尖石鄉新樂村一鄰10號
74DA38F20E96	新竹縣縣立梅花國小	[313]新竹縣尖石鄉梅花村1鄰25號
74DA38F20E92	新竹縣縣立錦屏國小	[313]新竹縣尖石鄉錦屏村十鄰116號
74DA38F20E90	新竹縣縣立玉峰國小	[313]新竹縣尖石鄉玉峰村五鄰59號
74DA38F20EAE	新竹縣縣立石磊國小	[313]新竹縣尖石鄉玉峰村十鄰49號
74DA38F20EAC	新竹縣縣立秀巒國小	[313]新竹縣尖石鄉秀巒村四鄰19號
74DA38F20EA8	新竹縣縣立新光國小	[313]新竹縣尖石鄉秀巒村八鄰17號
74DA38F20EB4	新竹縣縣立五峰國小	[311]新竹縣五峰鄉大隘村六鄰123號
